SVCAREAID,ADDR,WGSXPT,WGSYPT,QTY,UPDTDATE
중랑구,묵1동 160-20 (묵동천 제방 화장실 앞)_C-MK01-0038,37.6176,127.0781,1.0,2022-12-01
중랑구,묵1동 163-7 (참존숯불바베큐치킨 앞)_C-MK01-0044,37.6157,127.0789,1.0,2022-12-01
중랑구,묵1동 172-35 (제일교회옆 통신주 보조)_C-MK01-0010-2,37.6134,127.0795,1.0,2022-12-01
중랑구,묵1동 166-39(고정1)_953,37.6160,127.0774,1.0,2022-12-01
중랑구,묵1동 163-3(고정3)_C-MK01-0019-C,37.6162,127.0784,1.0,2022-12-01
중랑구,묵1동 164-4(고정2)_958,37.6147,127.0775,1.0,2022-12-01
중랑구,묵1동 163-7(고정1)_C-MK01-0044-A,37.6157,127.0789,1.0,2022-12-01
중랑구,묵1동 164-4(고정1)_958,37.6147,127.0775,1.0,2022-12-01
중랑구,묵1동 163-7(고정2)_C-MK01-0044-B,37.6157,127.0789,1.0,2022-12-01
중랑구,묵1동 171-36(고정3)_C-MK01-0016-C,37.6133,127.0787,1.0,2022-12-01
중랑구,묵1동 169-21(고정1)_C-MK01-0068-A,37.6157,127.0770,1.0,2022-12-01
중랑구,묵1동 169-21(CU편의점앞 사거리)_C-MK01-0068,37.6157,127.0770,1.0,2022-12-01
중랑구,묵1동 166-39(고정3)_953,37.6160,127.0774,1.0,2022-12-01
중랑구,묵1동 171-36(고정2)_C-MK01-0016-B,37.6133,127.0787,1.0,2022-12-01
중랑구,묵1동 169-21(고정2)_C-MK01-0068-B,37.6157,127.0770,1.0,2022-12-01
중랑구,묵1동 171-36(고정1)_C-MK01-0016-A,37.6133,127.0787,1.0,2022-12-01
중랑구,묵1동 171-36 (영광빌라앞)_C-MK01-0016,37.6133,127.0787,1.0,2022-12-01
중랑구,묵1동 20(고정1)_C-MK01-0032-A,37.6156,127.0873,1.0,2022-12-01
중랑구,묵2동 239-119(고정1)_C-MK02-0026-A,37.6098,127.0763,1.0,2022-12-01
