관리번호,위도,경도,지역구
올_16-67,37.54061,126.898108,영등포구
올_16-68,37.540769,126.897846,영등포구
올_16-69,37.540927,126.897598,영등포구
올_16-70,37.541062,126.897374,영등포구
올_16-71,37.541214,126.89713,영등포구
올_16-72,37.541355,126.8969,영등포구
올_16-73,37.541523,126.89665,영등포구
올_16-74,37.54167,126.896412,영등포구
올_16-75,37.54183,126.896164,영등포구
올_16-76,37.541983,126.895899,영등포구
올_16-77,37.542138,126.895653,영등포구
올_16-78,37.542271,126.895422,영등포구
올_16-79,37.54243,126.895159,영등포구
올_16-80,37.542569,126.894906,영등포구
올_16-81,37.542724,126.894632,영등포구
올_16-82,37.542858,126.89436,영등포구
올_16-83,37.543013,126.894085,영등포구
올_16-84,37.543158,126.893805,영등포구
올_16-85,37.543305,126.89353,영등포구
올_16-86,37.543443,126.893274,영등포구
올_16-87,37.543593,126.893012,영등포구
올_16-88,37.54373,126.892758,영등포구
올_16-89,37.543894,126.892554,영등포구
올_16-90,37.544442,126.890994,영등포구
올_16-91,37.544241,126.891193,영등포구
올_16-92,37.544046,126.89141,영등포구
올_16-93,37.543857,126.891654,영등포구
올_16-94,37.543689,126.891932,영등포구
올_16-95,37.543525,126.892202,영등포구
올_16-96,37.543369,126.89248,영등포구
올_16-97,37.543214,126.892758,영등포구
올_16-98,37.54307,126.893042,영등포구
올_16-99,37.542931,126.893313,영등포구
올_17-01,37.536316,126.904243,영등포구
올_17-02,37.536123,126.904604,영등포구
올_17-03,37.53592,126.904969,영등포구
올_17-04,37.535723,126.90535,영등포구
올_17-05,37.535525,126.905712,영등포구
올_17-06,37.535329,126.906084,영등포구
올_17-07,37.53511,126.906473,영등포구
올_17-08,37.534878,126.906821,영등포구
올_17-09,37.534612,126.907136,영등포구
올_17-10,37.534339,126.907445,영등포구
올_17-11,37.534079,126.907734,영등포구
올_17-12,37.533792,126.908013,영등포구
올_17-13,37.533488,126.908272,영등포구
올_17-14,37.53318,126.908521,영등포구
올_17-15,37.532871,126.908736,영등포구
올_17-16,37.532548,126.908924,영등포구
올_17-17,37.532217,126.909101,영등포구
올_17-18,37.531892,126.909266,영등포구
올_17-19,37.531542,126.909399,영등포구
올_17-20,37.531237,126.909497,영등포구
올_17-21,37.530941,126.909585,영등포구
올_17-22,37.530654,126.909693,영등포구
올_17-23,37.530355,126.909781,영등포구
올_17-24,37.530079,126.909859,영등포구
올_17-25,37.529783,126.909955,영등포구
올_17-26,37.529482,126.910032,영등포구
올_17-27,37.529177,126.910102,영등포구
올_17-28,37.529398,126.910263,영등포구
올_17-29,37.529674,126.910185,영등포구
올_17-30,37.529968,126.910117,영등포구
올_17-31,37.530268,126.910025,영등포구
올_17-32,37.53054,126.909947,영등포구
올_17-33,37.530862,126.909849,영등포구
올_17-34,37.531139,126.909756,영등포구
올_17-35,37.531418,126.90967,영등포구
올_17-36,37.531733,126.909553,영등포구
올_17-37,37.532069,126.909395,영등포구
